"DISTRICT_id","DISTRICT_CODE","DISTRICT_NAME","DISTRICT_Eng","Amphur_code","PROVINCE_code"
"1","103302","คลองตัน","Khlong Tan","1033","10"
"2","103301","คลองเตย","Khlong Toei","1033","10"
"3","103303","พระโขนง","Phra Khanong","1033","10"
"4","101804","คลองต้นไทร","Khlong Ton Sai","1018","10"
"5","101802","คลองสาน","Khlong San","1018","10"
"6","101803","บางลำภูล่าง","Bang Lamphu Lang","1018","10"
"7","101801","สมเด็จเจ้าพระยา","Somdet Chao Phraya","1018","10"
"8","104604","ทรายกองดิน","Sai Kong Din","1046","10"
"9","104605","ทรายกองดินใต้","Sai Kong Din Tai","1046","10"
"10","104603","บางชัน","Bang Chan","1046","10"
"11","104601","สามวาตะวันตก","Sam Wa Tawan Tok","1046","10"
"12","104602","สามวาตะวันออก","Sam Wa Tawan Ok","1046","10"
"13","104301","คันนายาว","Khan Na Yao","1043","10"
"14","104302","รามอินทรา","Ram Inthra","1043","10"
"15","103005","จตุจักร","Chatuchak","1030","10"
"16","103004","จอมพล","Chom Phon","1030","10"
"17","103003","จันทรเกษม","Chan Kasem","1030","10"
"18","103001","ลาดยาว","Lat Yao","1030","10"
"19","103002","เสนานิคม","Sena Nikhom","1030","10"
"20","103504","จอมทอง","Chom Thong","1035","10"
"21","103501","บางขุนเทียน","Bang Khun Thian","1035","10"
"22","103502","บางค้อ","Bang Kho","1035","10"
"23","103503","บางมด","Bang Mot","1035","10"
"24","103604","ดอนเมือง","Don Mueang","1036","10"
"25","103605","สนามบิน","Sanam Bin","1036","10"
"26","103602","สีกัน","Si Kan","1036","10"
"27","102601","ดินแดง","Din Daeng","1026","10"
"28","102602","รัชดาภิเษก","Ratchadapisek","1026","10"
"29","100201","ดุสิต","Dusit","1002","10"
"30","100206","ถนนนครไชยศรี","Thanon Nakhon Chai Si","1002","10"
"31","100202","วชิรพยาบาล","Wachira Phayaban","1002","10"
"32","100203","สวนจิตรลดา","Suan Chitlada","1002","10"
"33","100204","สี่แยกมหานาค","Si Yaek Maha Nak","1002","10"
"34","101901","คลองชักพระ","Khlong Chak Phra","1019","10"
"35","101903","ฉิมพลี","Chim Phli","1019","10"
"36","101902","ตลิ่งชัน","Taling Chan","1019","10"
"37","101907","บางเชือกหนัง","Bang Chueak Nang","1019","10"
"38","101904","บางพรม","Bang Phrom","1019","10"
"39","101905","บางระมาด","Bang Ramat","1019","10"
"40","104801","ทวีวัฒนา","Thawi Watthana","1048","10"
"41","104802","ศาลาธรรมสพน์","Sala Thammasop","1048","10"
"42","104902","ทุ่งครุ","Thung Khru","1049","10"
"43","104901","บางมด","Bang Mot","1049","10"
"44","101506","ดาวคะนอง","Dao Khanong","1015","10"
"45","101505","ตลาดพลู","Talat Phlu","1015","10"
"46","101503","บางยี่เรือ","Bang Yi Ruea","1015","10"
"47","101504","บุคคโล","Bukkhalo","1015","10"
"48","101501","วัดกัลยาณ์","Wat Kanlaya","1015","10"
"49","101507","สำเหร่","Samre","1015","10"
"50","101502","หิรัญรูจี","Hiranruchi","1015","10"
"51","102006","บางขุนนนท์","Bang Khun Non","1020","10"
"52","102007","บางขุนศรี","Bang Khun Si","1020","10"
"53","102005","บ้านช่างหล่อ","Ban Chang Lo","1020","10"
"54","102004","ศิริราช","Siriraj","1020","10"
"55","102009","อรุณอมรินทร์","Arun Amarin","1020","10"
"56","101602","วัดท่าพระ","Wat Tha Phra","1016","10"
"57","101601","วัดอรุณ","Wat Arun","1016","10"
"58","100601","คลองจั่น","Khlong Chan","1006","10"
"59","100608","หัวหมาก","Hua Mak","1006","10"
"60","102105","ท่าข้าม","Tha Kham","1021","10"
"61","102107","แสมดำ","Samae Dam","1021","10"
"62","100508","ท่าแร้ง","Tha Raeng","1005","10"
"63","100502","อนุสาวรีย์","Anusawari","1005","10"
"64","103101","บางคอแหลม","Bang Kho Laem","1031","10"
"65","103103","บางโคล่","Bang Khlo","1031","10"
"66","103102","วัดพระยาไกร","Wat Phraya Krai","1031","10"
"67","104001","บางแค","Bang Khae","1040","10"
"68","104002","บางแคเหนือ","Bang Khae Nuea","1040","10"
"69","104003","บางไผ่","Bang Phai","1040","10"
"70","104004","หลักสอง","Lak Song","1040","10"
"71","102901","บางซื่อ","Bang Sue","1029","10"
"72","102902","วงศ์สว่าง","Wong Sawang","1029","10"
"73","104703","บางนาใต้","Bang Na Tai","1047","10"
"74","104702","บางนาเหนือ","Bang Na Nuea","1047","10"
"75","105005","คลองบางบอน","Khlong Bang Bon","1050","10"
"76","105004","คลองบางพราน","Khlong Bang Pran","1050","10"
"77","105003","บางบอนใต้","Bang Bon Tai","1050","10"
"78","105002","บางบอนเหนือ","Bang Bon Nuea","1050","10"
