"AMPHUR_id","AMPHUR_CODE","AMPHUR_Name","AMPHUR_Eng","GEO_ID","PROVINCE_code"
"1","1033","คลองเตย","Khlong Toei",,"10"
"2","1018","คลองสาน","Khlong San",,"10"
"3","1046","คลองสามวา","Khlong Sam Wa",,"10"
"4","1043","คันนายาว","Khan Na Yao",,"10"
"5","1030","จตุจักร","Chatuchak",,"10"
"6","1035","จอมทอง","Chom Thong",,"10"
"7","1036","ดอนเมือง","Don Mueang",,"10"
"8","1026","ดินแดง","Din Daeng",,"10"
"9","1002","ดุสิต","Dusit",,"10"
"10","1019","ตลิ่งชัน","Taling Chan",,"10"
"11","1048","ทวีวัฒนา","Thawi Watthana",,"10"
"12","1049","ทุ่งครุ","Thung Khru",,"10"
"13","1015","ธนบุรี","Thon Buri",,"10"
"14","1020","บางกอกน้อย","Bangkok Noi",,"10"
"15","1016","บางกอกใหญ่","Bangkok Yai",,"10"
"16","1006","บางกะปิ","Bang Kapi",,"10"
"17","1021","บางขุนเทียน","Bang Khun Thian",,"10"
"18","1005","บางเขน","Bang Khen",,"10"
"19","1031","บางคอแหลม","Bang Kho Laem",,"10"
"20","1040","บางแค","Bang Khae",,"10"
"21","1029","บางซื่อ","Bang Sue",,"10"
"22","1047","บางนา","Bang Na",,"10"
"23","1050","บางบอน","Bang Bon",,"10"
"24","1025","บางพลัด","Bang Phlat",,"10"
"25","1004","บางรัก","Bang Rak",,"10"
"26","1027","บึงกุ่ม","Bueng Kum",,"10"
"27","1007","ปทุมวัน","Pathum Wan",,"10"
"28","1032","ประเวศ","Prawet",,"10"
"29","1008","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai",,"10"
"30","1014","พญาไท","Phaya Thai",,"10"
"31","1009","พระโขนง","Phra Khanong",,"10"
"32","1001","พระนคร","Phra Nakhon",,"10"
"33","1022","ภาษีเจริญ","Phasi Charoen",,"10"
"34","1010","มีนบุรี","Min Buri",,"10"
"35","1012","ยานนาวา","Yannawa",,"10"
"36","1037","ราชเทวี","Ratchathewi",,"10"
"37","1024","ราษฎร์บูรณะ","Rat Burana",,"10"
"38","1011","ลาดกระบัง","Lat Krabang",,"10"
"39","1038","ลาดพร้าว","Lat Phrao",,"10"
"40","1045","วังทองหลาง","Wang Thonglang",,"10"
"41","1039","วัฒนา","Vadhana",,"10"
"42","1034","สวนหลวง","Suan Luang",,"10"
"43","1044","สะพานสูง","Saphan Sung",,"10"
"44","1013","สัมพันธวงศ์","Samphanthawong",,"10"
"45","1028","สาทร","Sathon",,"10"
"46","1042","สายไหม","Sai Mai",,"10"
"47","1023","หนองแขม","Nong Khaem",,"10"
"48","1003","หนองจอก","Nong Chok",,"10"
"49","1041","หลักสี่","Lak Si",,"10"
"50","1017","ห้วยขวาง","Huai Khwang",,"10"
"51","1101","เมืองสมุทรปราการ","Amphoe Mueang Samut Prakan",,"11"
"52","1102","บางบ่อ","Amphoe Bang Bo",,"11"
"53","1103","บางพลี","Amphoe Bang Phli",,"11"
"54","1106","บางเสาธง","Amphoe Bang Sao Thong",,"11"
"55","1104","พระประแดง","Amphoe Phra Pradaeng",,"11"
"56","1105","พระสมุทรเจดีย์","Amphoe Phra Samut Chedi",,"11"
"57","1205","ไทรน้อย","Amphoe Sai Noi",,"12"
"58","1202","บางกรวย","Amphoe Bang Kruai",,"12"
"59","1204","บางบัวทอง","Amphoe Bang Bua Thong",,"12"
"60","1203","บางใหญ่","Amphoe Bang Yai",,"12"
"61","1206","ปากเกร็ด","Amphoe Pak Kret",,"12"
"62","1201","เมืองนนทบุรี","Amphoe Mueang Nonthaburi",,"12"
"63","1302","คลองหลวง","Amphoe Khlong Luang",,"13"
"64","1303","ธัญบุรี","Amphoe Thanyaburi",,"13"
"65","1301","เมืองปทุมธานี","Amphoe Mueang Pathum Thani",,"13"
"66","1305","ลาดหลุมแก้ว","Amphoe Lat Lum Kaeo",,"13"
"67","1306","ลำลูกกา","Amphoe Lam Luk Ka",,"13"
"68","1307","สามโคก","Amphoe Sam Khok",,"13"
